AsfAGHM5om  00000000000000000000000000000000  0000222200002222000022220000222200002222000000001111
~sHd0jDv6X  00000000000000000000000000000001  77779999444488885555CCCC777755555555BBBB666644446666
uI^EYm8s=|  00000000000000000000000000000002  CCCCFFFF777799995555FFFF11112222999988884444DDDDFFFF
Q)JN)R9z-L  00000000000000000000000000000003  FFFF111100000000000066668888BBBB33333333AAAA1111CCCC
o4FoBkqERn  00000000000000000000000000000004  7777AAAABBBBBBBB22224444444499995555BBBB11118888DDDD
*}-Wz1;TD-  00000000000000000000000000000005  AAAA88883333BBBB888888884444777722227777999900002222
0fssx}~[oB  00000000000000000000000000000006  FFFF999977774444AAAA7777EEEEDDDDAAAAAAAA99998888BBBB
mz4VCN@a#"  00000000000000000000000000000007  DDDDBBBB1111FFFF2222DDDDFFFFBBBBFFFF6666444477778888
my+=5r7(N|  00000000000000000000000000000008  22226666CCCC66662222FFFF0000EEEE11118888444455559999
5HA\z%qt{%  00000000000000000000000000000009  0000AAAA8888FFFF0000888800000000222255551111FFFFEEEE
`PkXQ<&+cc  0000000000000000000000000000000A  66667777FFFFFFFF2222FFFF3333FFFF22224444DDDD77777777
GLSnlm0*P*  0000000000000000000000000000000B  5555EEEE1111BBBB55555555AAAABBBB33335555BBBB11114444
swBzQ#' K<  0000000000000000000000000000000C  DDDDEEEE777777777777EEEEBBBBEEEECCCCEEEE444466665555
9SC<z G(1O  0000000000000000000000000000000D  BBBB111155553333DDDD11115555EEEEEEEEBBBBDDDD3333AAAA
o7~drsiz'L  0000000000000000000000000000000E  BBBBBBBBFFFF111188884444333388886666DDDDCCCCAAAA3333
K~%q4]YD$/  0000000000000000000000000000000F  1111BBBB1111BBBBAAAAFFFFAAAA6666222233339999FFFF0000
gj<m5S6*d2  00000000000000000000000000000010  7777EEEEEEEE222222223333BBBB888866665555DDDDBBBB1111
&~2Ch{E*nf  00000000000000000000000000000011  6666DDDDFFFFFFFF4444EEEE11116666BBBB77776666BBBB6666
B]az'~,CNd  00000000000000000000000000000012  66661111777733333333CCCC999933332222000033330000FFFF
,2K,DKXt@E  00000000000000000000000000000013  8888CCCCBBBB000088882222AAAA7777FFFF5555DDDD0000CCCC
}[v>zyMKz%  00000000000000000000000000000014  99997777777722222222999911116666DDDDBBBBCCCC3333DDDD
kXrG^ech1/  00000000000000000000000000000015  FFFF2222AAAA66660000AAAA9999333322227777AAAA77772222
v%^RG^ci[X  00000000000000000000000000000016  7777BBBBFFFF999922229999DDDD3333CCCCAAAACCCCBBBBBBBB
vi@>8jMaYX  00000000000000000000000000000017  CCCCFFFFFFFF6666AAAA999999997777AAAA6666000066668888
}dA7*<6[lx  00000000000000000000000000000018  6666FFFF77775555CCCC88881111AAAA00000000CCCC00009999
>Y$Kc)9DOf  00000000000000000000000000000019  AAAAEEEEEEEE222266660000AAAA00000000000044446666EEEE
uF?T;*:x0+  0000000000000000000000000000001A  444466665555BBBB8888BBBB00000000BBBB00005555AAAA7777
~%.@@,3>7+  0000000000000000000000000000001B  FFFFDDDD333399999999666644449999BBBB2222000000004444
JPrAKc{W>j  0000000000000000000000000000001C  222211111111333355554444DDDDEEEE33339999999911115555
*i@lF30|aO  0000000000000000000000000000001D  CCCC88880000FFFFCCCCDDDDBBBB4444EEEE99990000AAAAAAAA
9UH>%FZbUK  0000000000000000000000000000001E  DDDD00005555EEEE111199998888CCCC888877779999DDDD3333
-^1~=aYZC1  0000000000000000000000000000001F  11112222555599996666111144445555DDDDBBBB7777EEEE0000
.\KqT&Z4i4  00000000000000000000000000000020  3333DDDDCCCC888888885555222299993333EEEEFFFF66661111
9RtsPa gIN  00000000000000000000000000000021  555544440000AAAACCCC8888AAAA55552222DDDDBBBB22226666
Fqy~]OATYw  00000000000000000000000000000022  9999CCCC0000888888884444333355553333BBBB55553333FFFF
Wj-%?e*2y\  00000000000000000000000000000023  AAAA444477776666FFFF444455550000EEEE88883333FFFFCCCC
Rv]QHo9f6+  00000000000000000000000000000024  99996666BBBB7777444466660000AAAADDDDDDDDAAAAEEEEDDDD
1 e!og=!hi  00000000000000000000000000000025  3333EEEE88887777CCCCEEEE777733337777DDDDFFFFEEEE2222
N,gk>37c (  00000000000000000000000000000026  DDDD11116666DDDD5555EEEE99996666AAAAAAAA3333EEEEBBBB
s.72Y.uzRN  00000000000000000000000000000027  0000CCCCFFFFAAAAAAAA11117777AAAA66662222000055558888
j*0`gczW{u  00000000000000000000000000000028  9999DDDDCCCC8888AAAA999911111111BBBB66667777BBBB9999
R+Sh=Kgd.6  00000000000000000000000000000029  DDDD0000BBBB77770000222200009999AAAADDDDAAAADDDDEEEE
x]w]=Dp6\s  0000000000000000000000000000002A  6666FFFFEEEEBBBBCCCC000033331111666677771111DDDD7777
maU!Uo]He&  0000000000000000000000000000002B  AAAA9999BBBB55557777CCCC6666EEEE555566668888FFFF4444
smN$i pU-~  0000000000000000000000000000002C  AAAADDDDEEEE333388885555DDDD3333FFFFEEEE1111CCCC5555
T}# `9Cseu  0000000000000000000000000000002D  4444FFFF777700001111EEEE999944447777444488881111AAAA
G2oMVHVK`!  0000000000000000000000000000002E  4444888844448888CCCC1111AAAA555577778888BBBB00003333
